name,team,position,element,season,GW,total_points,value,price_change,pts_per_million,position_enc,rolling_pts_3,rolling_pts_5,rolling_pts_std_3,rolling_pts_std_5,rolling_goals_3,rolling_assists_3,rolling_mins_3,rolling_gi_3,form_trend,pct_matches_played,games_played,was_home,team_match_result,played_60_plus,blanked,red_card_flag,opp_avg_goals_scored,opp_avg_goals_conceded,team_rolling_pts_3,team_rolling_goals_3,gi_rate,rolling_yellows_3,transfers_per_selected
Folarin Balogun,Arsenal,FWD,1,2324,30,0,4.4,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9333333333333333,28,0,1,0,1,0,0.11137980085348506,0.11578947368421053,3.0,0.08771929824561403,0.0,0.0,0.0
Folarin Balogun,Arsenal,FWD,1,2324,31,0,4.4,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9354838709677419,29,1,3,0,1,0,0.07894736842105263,0.11578947368421053,2.3333333333333335,0.06140350877192982,0.0,0.0,0.0
Folarin Balogun,Arsenal,FWD,1,2324,32,0,4.4,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9375,30,0,3,0,1,0,0.05789473684210526,0.11578947368421053,2.3333333333333335,0.02631578947368421,0.0,0.0,0.0
Folarin Balogun,Arsenal,FWD,1,2324,33,0,4.4,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9393939393939394,31,1,0,0,1,0,0.05789473684210526,0.05789473684210526,2.3333333333333335,0.03508771929824561,0.0,0.0,0.0
Folarin Balogun,Arsenal,FWD,1,2324,34,0,4.4,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9411764705882353,32,0,3,0,1,0,0.031578947368421054,0.1736842105263158,2.0,0.03508771929824561,0.0,0.0,0.0
Folarin Balogun,Arsenal,FWD,1,2324,34,0,4.4,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9705882352941176,33,1,3,0,1,0,0.031578947368421054,0.1736842105263158,2.0,0.03508771929824561,0.0,0.0,0.0
Folarin Balogun,Arsenal,FWD,1,2324,35,0,4.4,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9714285714285714,34,0,3,0,1,0,0.039473684210526314,0.11578947368421053,2.0,0.05701754385964911,0.0,0.0,0.0
Folarin Balogun,Arsenal,FWD,1,2324,36,0,4.4,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9722222222222222,35,1,3,0,1,0,0.05,0.23157894736842105,2.0,0.048245614035087724,0.0,0.0,0.0
Folarin Balogun,Arsenal,FWD,1,2324,37,0,4.4,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.972972972972973,36,0,3,0,1,0,0.060526315789473685,0.23157894736842105,3.0,0.07456140350877193,0.0,0.0,0.0
Folarin Balogun,Arsenal,FWD,1,2324,38,0,4.4,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9736842105263158,37,1,3,0,1,0,0.05,0.23157894736842105,3.0,0.05263157894736842,0.0,0.0,0.0
Fábio Ferreira Vieira,Arsenal,MID,1,2425,1,0,5.5,1.0999999999999996,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,3,0,1,0,0.060526315789473685,0.1736842105263158,3.0,0.05263157894736842,,0.0,0.0
Fábio Ferreira Vieira,Arsenal,MID,1,2425,2,0,5.5,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1,0,3,0,1,0,0.05748987854251012,0.1736842105263158,3.0,0.05195681511470985,0.0,0.0,0.03619129685480396
Fábio Ferreira Vieira,Arsenal,MID,1,2425,3,0,5.4,-0.09999999999999964,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,2,1,1,0,1,0,0.062348178137651825,0.05789473684210526,3.0,0.06882591093117409,0.0,0.0,0.14810179390905298
