name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,GW,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,modified
Zirkzee,FWD,Man Utd,2.0,0,0,3,0,1.5,389,0.02,0.02,0.0,0.56,237,1,0,0.4,2.8,2025-02-02T14:00:00Z,20,7,0,0,0,0,24,0,171193,0,2,0,0.0,1,-3609,1880,5489,65,True,0,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Ødegaard,MID,Arsenal,4.0,0,0,29,0,2.3,13,0.04,0.18,0.14,0.81,231,1,1,5.6,35.0,2025-02-02T16:30:00Z,83,13,0,0,0,0,24,0,528111,1,1,5,19.0,6,-52498,5070,57568,82,True,1,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Fletcher,MID,Man Utd,0.0,0,0,0,0,0.0,667,0.0,0.0,0.0,0.0,237,0,0,0.0,0.0,2025-02-02T14:00:00Z,0,7,0,0,0,0,24,0,942,0,2,0,0.0,0,6,54,48,45,True,0,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Acheampong,DEF,Chelsea,0.7,0,0,0,0,0.0,697,0.0,0.0,0.0,0.0,234,0,0,0.0,0.0,2025-02-03T20:00:00Z,0,19,0,0,0,0,24,0,7344,0,1,2,0.0,0,-263,669,932,40,True,0,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Wharton,MID,Crystal Palace,0.2,0,0,3,0,0.0,216,0.0,0.0,0.0,0.1,237,0,0,0.7,7.2,2025-02-02T14:00:00Z,2,14,0,0,0,0,24,0,15320,0,2,0,0.0,1,-147,39,186,47,False,0,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Marmoush,FWD,Man City,2.0,0,0,6,0,43.0,755,0.33,0.35,0.02,0.76,231,3,0,5.4,4.0,2025-02-02T16:30:00Z,71,1,0,0,0,0,24,0,311863,1,1,5,7.0,2,135862,158704,22842,70,False,0,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Sinisterra,MID,Bournemouth,-0.2,0,0,0,0,0.0,80,0.0,0.0,0.0,0.0,232,0,0,0.0,0.0,2025-02-01T15:00:00Z,0,12,0,0,0,0,24,0,12603,0,2,0,0.0,0,-138,28,166,48,True,0,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Keane,DEF,Everton,-0.6,0,0,0,0,0.0,228,0.0,0.0,0.0,0.0,235,0,0,0.0,0.0,2025-02-01T15:00:00Z,0,11,0,0,0,0,24,0,523356,0,0,4,0.0,0,-7027,20208,27235,39,True,0,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Keane,DEF,Everton,-0.6,0,0,0,0,0.0,228,0.0,0.0,0.0,0.0,144,0,0,0.0,0.0,2025-02-12T19:30:00Z,0,12,0,0,0,0,24,0,523356,0,2,2,0.0,0,-7027,20208,27235,39,True,0,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Richards,DEF,Nott'm Forest,0.0,0,0,0,0,0.0,438,0.0,0.0,0.0,0.0,239,0,0,0.0,0.0,2025-02-01T12:30:00Z,0,5,0,0,0,0,24,0,1888,0,0,7,0.0,0,-7,0,7,45,True,0,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Mayers,DEF,West Ham,-0.5,0,0,0,0,0.0,686,0.0,0.0,0.0,0.0,234,0,0,0.0,0.0,2025-02-03T20:00:00Z,0,6,0,0,0,0,24,0,2004,0,1,2,0.0,0,-17,86,103,40,False,0,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Anthony,MID,Newcastle,4.7,0,0,8,0,42.3,398,0.19,0.25,0.06,1.56,238,2,0,6.9,7.8,2025-02-01T15:00:00Z,90,9,0,0,0,0,24,0,2676535,1,2,1,19.0,1,-263917,65247,329164,77,True,1,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
King,MID,Fulham,0.0,0,0,0,0,0.0,604,0.0,0.0,0.0,0.0,238,0,0,0.0,0.0,2025-02-01T15:00:00Z,0,15,0,0,0,0,24,0,9753,0,2,1,0.0,0,-82,203,285,45,False,0,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
